LocationID,Longitude,Latitude
1,-74.153536,4.743359
2,-74.09893796560621,4.59795431125545
3,-74.07557103763986,4.687820646838871
4,-74.10708524062704,4.70949446000624
5,-74.09727965657427,4.605029068682624
6,-74.16464148202755,4.648463876533332
7,-74.12083799988112,4.662137416953968
8,-74.02213076607309,4.697499030379109
9,-74.17207549744595,4.649416884236942
10,-74.15615257246444,4.606310650273935
11,-74.09041145358674,4.557379705282216
12,-74.17802255204528,4.591594072172954
13,-74.1015410917749,4.7564172406324055
14,-74.09690889182339,4.646217006050524
15,-74.1219200708342,4.725912125314368
16,-74.796387,10.963889
17,-75.51444,10.39972
18,-74.19904,11.24079
19,-73.1198,7.12539
20,-74.063644,4.624335
21,-75.590553,6.230833
22,-76.522224,3.420556
23,-74.4300155,7.794112
24,-75.19347,8.597361
25,-76.0563885,4.8256945
26,-75.292934,4.0224455
27,-73.2,5.8
